plot,general,focal,lat,lon,easting,northing,elevation
mai2,mai,N,-3.37858378514207,37.4457420277352,327231.4034,9626724.8656,871.7245
mai3,mai,N,-3.38890441502978,37.5041050576319,333718.5871,9625594.1564,868.8175
mai4,mai,N,-3.36150873642324,37.6128439186661,345797.0088,9628641.1919,962.0432
mai5,mai,N,-3.32406004035105,37.6747670261921,352672.0599,9632790.7833,952.605
mcg0,flm,N,,,,,
mch0,fpo,N,,,,,
mwh0,fpd,N,,,,,
nkw1,nkw,N,-3.18477218905374,37.2406862771648,304406.0354,9648118.9833,1676.1448
sav0,sav,N,-3.31389246443479,37.6872083360542,354053.0439,9633917.3339,952.8452
sav1,sav,N,-3.37476389223691,37.4548851370899,328246.7352,9627148.7668,882.83765
sav2,sav,N,-3.3807257696596,37.4963709512545,332857.7866,9626497.085,1028.1492
sav3,sav,N,-3.33032991912182,37.6431058627067,349154.8593,9632092.7699,1138.7771
sav4,sav,Y,-3.31883409048005,37.6828708744555,353571.7951,9633370.1205,962.8048
sav5,sav,N,-3.3076565289797,37.6840628587976,353702.6091,9634606.2796,942.55334
sun1,cof,N,,,,,1154.3486
sun2,cof,N,,,,,1340.9812
sun3,cof,N,,,,,1332.7849
sun4,cof,N,,,,,1157.254
