plot,logger,serial,start,end,pu1_P_RT_NRT,pu2_1,pu2_2,wxt_SWDR_300,wxt_SWUR_300,wxt_LWDR_300,wxt_LWUR_300,SERIAL_PYR01,SERIAL_PYR02,SERIAL_PAR01,SERIAL_PAR02,pu2_1_type,pu2_2_type
foc6,rad,80091025310,2012-10-17,*,,,,,,,,19,20,,,,
foc6,tfi,4,2012-01-01,*,0.0198915706,0.0198915706,0.001,,,,,,,,,,
fod1,rug,51021020228,*,*,,,,,,,,,,,,,
fod2,pu1,80081025286,2012-10-26,*,0.199,,,,,,,,,,,,
fod2,rad,80091025307,2012-10-25,*,,,,,,,,15,16,,,,
fod2,rug,51071120460,*,*,,,,,,,,,,,,,
fod3,pu1,80081025287,2014-05-08,*,0.2,,,,,,,,,,,,
fod3,rug,51071120480,*,*,,,,,,,,,,,,,
fod4,rug,51071120478,*,2015-04-08,,,,,,,,,,,,,
fod4,rug,80121421098,2015-04-09,*,,,,,,,,,,,,,
fod5,rug,51071120475,*,2014-04-28,,,,,,,,,,,,,
fod5,rug,80121421091,2015-04-09,*,,,,,,,,,,,,,
fpd0,pu2,80081025295,*,2012-10-16,,0.2,0.2,,,,,,,,,rain,fog
fpd0,tfi,7,2012-01-01,*,0.0198915706,0.0198915706,0.001,,,,,,,,,,
fpd1,rug,51071120483,*,*,,,,,,,,,,,,,
fpd2,pu2,80101326134,2014-10-20,*,0.2,0.2,,,,,,,,,,fog,rain
fpd2,rug,51071120474,2012-10-02,*,,,,,,,,,,,,,
fpd3,rug,51071120482,*,*,,,,,,,,,,,,,
fpd4,rug,51071120470,*,*,,,,,,,,,,,,,
fpd5,pu1,80081025280,2014-05-19,*,0.2,,,,,,,,,,,,
fpd5,rug,51021020197,*,*,,,,,,,,,,,,,
fpo0,gp1,80091225858,2012-01-01,*,,0.9,35,,,,,,,,,,
fpo0,pu2,80081025293,*,2012-10-11,,201,199,,,,,,,,,rain,fog
fpo0,tfi,6,2012-01-01,*,0.0198915706,0.0198915706,1,,,,,,,,,,
fpo1,rad,80091025303,2012-10-12,*,,,,,,,,17,18,,,,
fpo1,rug,51071120476,*,*,,,,,,,,,,,,,
fpo2,rad,80091025301,2012-10-15,2013-06-10,,,,,,,,,,12,,,
