plot,logger,serial,start,end
SEW03_C0200130,00FEMU,tt_5F200021,2020-12-01,2025-12-31
SEW03_C0200130,00FEMU,tt_5F200022,2020-12-01,2025-12-31
SEW03_C0200130,00FEMU,tt_5F200023,2020-12-01,2025-12-31
SEW03_C0200130,00FEMU,tt_5F200024,2020-12-01,2025-12-31
SEW03_C0200130,00FEMU,tt_5F200025,2020-12-01,2025-12-31
SEW03_C0200130,00FEMU,tt_5F200063,*,*
SEW03_C0200130,00FEMU,tt_5F200064,*,*
SEW03_C0200130,00FEMU,tt_5F200065,*,*
SEW03_C0200130,00FEMU,tt_5F200066,*,*
SEW03_C0200130,00FEMU,tt_5F200067,*,*
SEW03_1_M,00FEMU,tt_5F200063,*,*
SEW03_1_S,00FEMU,tt_5F200064,*,*
SEW03_2_M,00FEMU,tt_5F200065,*,*
SEW03_2_N,00FEMU,tt_5F200066,*,*
SEW03_3_M,00FEMU,tt_5F200067,2020-12-01,2025-12-31
SEW04_CLOUD,00FEMU_CLOUD,tt_C0200131,*,*
SEW04_C0200131,00FEMU,tt_5F200119,*,*
SEW04_C0200131,00FEMU,tt_5F200073,*,*
SEW04_1_M,00FEMU,tt_5F200001,*,*
SEW04_1_S,00FEMU,tt_5F200002,*,*
SEW04_2_M,00FEMU,tt_5F200003,*,*
SEW04_2_N,00FEMU,tt_5F200004,*,*
SEW04_3_M,00FEMU,tt_5F200005,2020-12-01,2025-12-31
SEW04_4_M,00FEMU,tt_5F200073,2020-12-01,2025-12-31
SEW17_CLOUD,00FEMU_CLOUD,tt_C0200132,*,*
SEW17_1_M,00FEMU,tt_5F200006,2020-12-01,2025-12-31
SEW17_1_N,00FEMU,tt_5F200007,2020-12-01,2025-12-31
SEW17_2_M,00FEMU,tt_5F200008,2020-12-01,2025-12-31
SEW17_2_S,00FEMU,tt_5F200009,2020-12-01,2025-12-31
SEW17_3_M,00FEMU,tt_5F200010,2020-12-01,2025-12-31
SEW18_CLOUD,00FEMU_CLOUD,tt_C0200140,*,*
SEW18_C0200140,00FEMU,tt_5F200011,*,*
SEW18_C0200140,00FEMU,tt_5F200012,*,*
SEW18_C0200140,00FEMU,tt_5F200013,*,*
SEW18_C0200140,00FEMU,tt_5F200014,*,*
SEW18_C0200140,00FEMU,tt_5F200015,*,*
SEW18_C0200140,00FEMU,tt_5F200016,*,*
SEW18_C0200140,00FEMU,tt_5F200017,*,*
SEW18_C0200140,00FEMU,tt_5F200018,*,*
SEW18_C0200140,00FEMU,tt_5F200019,*,*
SEW18_C0200140,00FEMU,tt_5F200020,*,*
SEW18_C0200140,00FEMU,tt_5F200015,*,*
SEW18_C0200140,00FEMU,tt_5F200011,*,*
SEW18_C0200140,00FEMU,tt_5F200012,*,*
SEW18_C0200140,00FEMU,tt_5F200013,*,*
SEW18_C0200140,00FEMU,tt_5F200014,*,*
SEW18_1_M,00FEMU,tt_5F200011,2020-12-01,2025-12-31
SEW18_1_N,00FEMU,tt_5F200012,2020-12-01,2025-12-31
SEW18_2_M,00FEMU,tt_5F200013,2020-12-01,2025-12-31
SEW18_2_S,00FEMU,tt_5F200014,2020-12-01,2025-12-31
SEW18_3_M,00FEMU,tt_5F200015,2020-12-01,2025-12-31
SEW24_CLOUD,00FEMU_CLOUD,tt_C0200141,*,*
SEW24_C0200141,00FEMU,tt_5F200016,*,*
SEW24_C0200141,00FEMU,tt_5F200017,*,*
SEW24_C0200141,00FEMU,tt_5F200018,*,*
SEW24_C0200141,00FEMU,tt_5F200019,*,*
SEW24_C0200141,00FEMU,tt_5F200020,*,*
SEW24_1_M,00FEMU,tt_5F200016,2020-12-01,2025-12-31
SEW24_1_S,00FEMU,tt_5F200017,2020-12-01,2025-12-31
SEW24_2_M,00FEMU,tt_5F200018,2020-12-01,2025-12-31
SEW24_2_N,00FEMU,tt_5F200019,2020-12-01,2025-12-31
SEW24_3_M,00FEMU,tt_5F200020,2020-12-01,2025-12-31
SEW25_CLOUD,00FEMU_CLOUD,tt_C0200159,*,*
SEW25_C0200159,00FEMU,tt_5F200021,*,*
SEW25_C0200159,00FEMU,tt_5F200022,*,*
SEW25_C0200159,00FEMU,tt_5F200023,*,*
SEW25_C0200159,00FEMU,tt_5F200024,*,*
SEW25_C0200159,00FEMU,tt_5F200025,*,*
SEW25_1_M,00FEMU,tt_5F200021,2020-12-01,2025-12-31
SEW25_1_S,00FEMU,tt_5F200022,2020-12-01,2025-12-31
SEW25_2_M,00FEMU,tt_5F200023,2020-12-01,2025-12-31
SEW25_2_N,00FEMU,tt_5F200024,2020-12-01,2025-12-31
SEW25_3_M,00FEMU,tt_5F200025,2020-12-01,2025-12-31
SEW27_CLOUD,00FEMU_CLOUD,tt_C0200161,*,*
SEW27_C0200161,00FEMU,tt_5F200030,*,*
SEW27_C0200161,00FEMU,tt_5F200026,*,*
SEW27_C0200161,00FEMU,tt_5F200027,*,*
SEW27_C0200161,00FEMU,tt_5F200028,*,*
SEW27_C0200161,00FEMU,tt_5F200029,*,*
SEW27_1_M,00FEMU,tt_5F200026,2020-12-01,2025-12-31
SEW27_1_N,00FEMU,tt_5F200027,2020-12-01,2025-12-31
SEW27_2_M,00FEMU,tt_5F200028,2020-12-01,2025-12-31
SEW27_2_S,00FEMU,tt_5F200029,2020-12-01,2025-12-31
SEW24_3_M,00FEMU,tt_5F200030,2020-12-01,2025-12-31
SEW31_CLOUD,00FEMU_CLOUD,tt_C0200162,*,*
SEW31_C0200162,00FEMU,tt_5F200031,*,*
SEW31_C0200162,00FEMU,tt_5F200032,*,*
SEW31_C0200162,00FEMU,tt_5F200033,*,*
SEW31_C0200162,00FEMU,tt_5F200034,*,*
SEW31_C0200162,00FEMU,tt_5F200035,*,*
SEW31_1_M,00FEMU,tt_5F200031,2020-12-01,2025-12-31
SEW31_1_S,00FEMU,tt_5F200032,2020-12-01,2025-12-31
SEW31_2_M,00FEMU,tt_5F200033,2020-12-01,2025-12-31
SEW31_2_N,00FEMU,tt_5F200034,2020-12-01,2025-12-31
SEW31_3_M,00FEMU,tt_5F200035,2020-12-01,2025-12-31
SEW33_CLOUD,00FEMU_CLOUD,tt_C0200164,*,*
SEW33_C0200164,00FEMU,tt_5F200036,*,*
SEW33_C0200164,00FEMU,tt_5F200037,*,*
SEW33_C0200164,00FEMU,tt_5F200038,*,*
SEW33_C0200164,00FEMU,tt_5F200039,*,*
SEW33_C0200164,00FEMU,tt_5F200040,*,*
SEW33_1_M,00FEMU,tt_5F200036,2020-12-01,2025-12-31
SEW33_1_S,00FEMU,tt_5F200037,2020-12-01,2025-12-31
SEW33_2_M,00FEMU,tt_5F200038,2020-12-01,2025-12-31
SEW33_2_N,00FEMU,tt_5F200039,2020-12-01,2025-12-31
SEW33_3_M,00FEMU,tt_5F200040,2020-12-01,2025-12-31
SEW35_CLOUD,00FEMU_CLOUD,tt_C0200165,*,*
SEW35_C0200165,00FEMU,tt_5F200045,*,*
SEW35_C0200165,00FEMU,tt_5F200041,*,*
SEW35_C0200165,00FEMU,tt_5F200042,*,*
SEW35_C0200165,00FEMU,tt_5F200043,*,*
SEW35_C0200165,00FEMU,tt_5F200044,*,*
SEW35_1_M,00FEMU,tt_5F200041,2020-12-01,2025-12-31
SEW35_1_N,00FEMU,tt_5F200042,2020-12-01,2025-12-31
SEW35_2_M,00FEMU,tt_5F200043,2020-12-01,2025-12-31
SEW35_2_S,00FEMU,tt_5F200044,2020-12-01,2025-12-31
SEW35_3_M,00FEMU,tt_5F200045,2020-12-01,2025-12-31
SEW36_CLOUD,00FEMU_CLOUD,tt_C0200166,*,*
SEW36_C0200166,00FEMU,tt_5F200050,*,*
SEW36_C0200166,00FEMU,tt_5F200046,*,*
SEW36_C0200166,00FEMU,tt_5F200047,*,*
SEW36_C0200166,00FEMU,tt_5F200048,*,*
SEW36_C0200166,00FEMU,tt_5F200049,*,*
SEW36_1_M,00FEMU,tt_5F200046,2020-12-01,2025-12-31
SEW36_1_N,00FEMU,tt_5F200047,2020-12-01,2025-12-31
SEW36_2_M,00FEMU,tt_5F200048,2020-12-01,2025-12-31
SEW36_2_S,00FEMU,tt_5F200049,2020-12-01,2025-12-31
SEW36_3_M,00FEMU,tt_5F200050,2020-12-01,2025-12-31
SEW49_CLOUD,00FEMU_CLOUD,tt_C0200180,*,*
SEW49_C0200180,00FEMU,tt_5F200062,*,*
SEW49_C0200180,00FEMU,tt_5F200058,*,*
SEW49_C0200180,00FEMU,tt_5F200059,*,*
SEW49_C0200180,00FEMU,tt_5F200060,*,*
SEW49_C0200180,00FEMU,tt_5F200061,*,*
SEW49_1_M,00FEMU,tt_5F200058,2020-12-01,2025-12-31
SEW49_1_N,00FEMU,tt_5F200059,2020-12-01,2025-12-31
SEW49_2_M,00FEMU,tt_5F200060,2020-12-01,2025-12-31
SEW49_2_S,00FEMU,tt_5F200061,2020-12-01,2025-12-31
SEW49_3_M,00FEMU,tt_5F200062,2020-12-01,2025-12-31
