plot,general,lat,lon,focal,is_station,logger,alternative_id,elevation,comment
CaldernWald,ca_stations,50.8411,8.68477,Y,Y,ca_logger,,,
CaldernWiese,ca_stations,50.8405,8.6832,Y,Y,ca_logger,,,
demo_moon,influx_stations,,,Y,Y,ca_logger,,,
lab_cst_00000_moon,influx_stations,,,Y,Y,ca_logger,,,
lab_moon,influx_stations,,,Y,Y,ca_logger,,,
lahnberge_moon,influx_stations,,,Y,Y,ca_logger,,,
ltf_cst_00001_moon,influx_stations,,,Y,Y,ca_logger,,,
mof_cst_00050_moon,influx_stations,,,Y,Y,ca_logger,,,
mof_cst_00075_moon,influx_stations,,,Y,Y,ca_logger,,,
mrc_cst_00001_moon,influx_stations,,,Y,Y,ca_logger,,,
office_planet,influx_stations,,,Y,Y,ca_logger,,,
office2_planet,influx_stations,,,Y,Y,ca_logger,,,
mof_cst_00001_planet,manual_stations,,,Y,Y,ca_logger,,,
SEW03_CLOUD,SEF,,,,,00FEMU_CLOUD,,,
SEW03_C0200130,SEF,,,,,00FEMU,,,
SEW03_2_M,SEF,,,,,00FEMU,,,
SEW03_1_S,SEF,,,,,00FEMU,,,
SEW03_3_M,SEF,,,,,00FEMU,,,
SEW03_2_N,SEF,,,,,00FEMU,,,
SEW03_1_M,SEF,,,,,00FEMU,,,
SEW04_CLOUD,SEF,,,,,00FEMU_CLOUD,,,
SEW04_C0200131,SEF,,,,,00FEMU,,,
SEW04_1_M,SEF,,,,,00FEMU,,,
SEW04_1_S,SEF,,,,,00FEMU,,,
SEW04_2_M,SEF,,,,,00FEMU,,,
SEW04_2_N,SEF,,,,,00FEMU,,,
SEW04_3_M,SEF,,,,,00FEMU,,,
SEW04_4_M,SEF,,,,,00FEMU,,,
SEW17_CLOUD,SEF,,,,,00FEMU_CLOUD,,,
SEW17_1_M,SEF,,,,,00FEMU,,,
SEW17_1_N,SEF,,,,,00FEMU,,,
SEW17_2_M,SEF,,,,,00FEMU,,,
SEW17_2_S,SEF,,,,,00FEMU,,,
SEW17_3_M,SEF,,,,,00FEMU,,,
SEW18_CLOUD,SEF,,,,,00FEMU_CLOUD,,,
SEW18_C0200140,SEF,,,,,00FEMU,,,
SEW18_1_N,SEF,,,,,00FEMU,,,
SEW18_1_M,SEF,,,,,00FEMU,,,
SEW18_2_S,SEF,,,,,00FEMU,,,
SEW18_2_M,SEF,,,,,00FEMU,,,
SEW18_3_M,SEF,,,,,00FEMU,,,
SEW24_CLOUD,SEF,,,,,00FEMU_CLOUD,,,
SEW24_C0200141,SEF,,,,,00FEMU,,,
SEW24_3_M,SEF,,,,,00FEMU,,,
SEW24_2_M,SEF,,,,,00FEMU,,,
SEW24_1_S,SEF,,,,,00FEMU,,,
SEW24_2_N,SEF,,,,,00FEMU,,,
SEW24_1_M,SEF,,,,,00FEMU,,,
SEW25_CLOUD,SEF,,,,,00FEMU_CLOUD,,,
SEW25_C0200159,SEF,,,,,00FEMU,,,
SEW25_1_M,SEF,,,,,00FEMU,,,
SEW25_1_S,SEF,,,,,00FEMU,,,
SEW25_2_M,SEF,,,,,00FEMU,,,
SEW25_2_N,SEF,,,,,00FEMU,,,
SEW25_3_M,SEF,,,,,00FEMU,,,
SEW27_CLOUD,SEF,,,,,00FEMU_CLOUD,,,
SEW27_C0200161,SEF,,,,,00FEMU,,,
SEW27_1_M,SEF,,,,,00FEMU,,,
SEW27_1_N,SEF,,,,,00FEMU,,,
SEW27_2_M,SEF,,,,,00FEMU,,,
SEW27_2_S,SEF,,,,,00FEMU,,,
SEW31_CLOUD,SEF,,,,,00FEMU_CLOUD,,,
SEW31_C0200162,SEF,,,,,00FEMU,,,
SEW31_1_M,SEF,,,,,00FEMU,,,
SEW31_1_S,SEF,,,,,00FEMU,,,
SEW31_2_M,SEF,,,,,00FEMU,,,
SEW31_2_N,SEF,,,,,00FEMU,,,
SEW31_3_M,SEF,,,,,00FEMU,,,
SEW33_CLOUD,SEF,,,,,00FEMU_CLOUD,,,
SEW33_C0200164,SEF,,,,,00FEMU,,,
SEW33_1_M,SEF,,,,,00FEMU,,,
SEW33_1_S,SEF,,,,,00FEMU,,,
SEW33_2_M,SEF,,,,,00FEMU,,,
SEW33_2_N,SEF,,,,,00FEMU,,,
SEW33_3_M,SEF,,,,,00FEMU,,,
SEW35_CLOUD,SEF,,,,,00FEMU_CLOUD,,,
SEW35_C0200165,SEF,,,,,00FEMU,,,
SEW35_3_M,SEF,,,,,00FEMU,,,
SEW35_1_M,SEF,,,,,00FEMU,,,
SEW35_1_N,SEF,,,,,00FEMU,,,
SEW35_2_M,SEF,,,,,00FEMU,,,
SEW35_2_S,SEF,,,,,00FEMU,,,
SEW36_CLOUD,SEF,,,,,00FEMU_CLOUD,,,
SEW36_C0200166,SEF,,,,,00FEMU,,,
SEW36_3_M,SEF,,,,,00FEMU,,,
